idx;x;mean_synth_10;std_synth_10;mean_waveform;std_waveform
0;1.0;-0.9505034252251908;0.0061987079508723395;-0.7248665957581324;0.01811481734420906
1;2.0;-0.9474040712497548;0.007591835772085164;-0.7056237691717605;0.00833084517129475
2;3.0;-0.942679538151261;0.003769333184887708;-0.6960092138370566;0.004758694285350945
3;4.0;-0.9420831361584041;0.003481753840755573;-0.6875086894210722;0.009526811760745706
4;5.0;-0.9412115365113198;0.0031519551547754873;-0.6825529398682793;0.00999837262631669
5;6.0;-0.9380801481772754;0.005631849535350362;-0.6736576554494963;0.009940095843733496
6;7.0;-0.9360206180391982;0.004951785261853656;-0.6701455457088242;0.010387337322020521
7;8.0;-0.9341968129642948;0.004354102328169796;-0.6653650504523113;0.009800391268375674
8;9.0;-0.9338161352185237;0.004566287172573245;-0.6622452158815856;0.009816339169059295
9;10.0;-0.9304527513337417;0.005989729024188873;-0.658120622306394;0.008511999415738158
10;11.0;-0.9287098383055961;0.007370145178502135;-0.6521186691974579;0.00604575479444394
11;12.0;-0.9241521075800121;0.009636287040408071;-0.6497139896803834;0.006621257779280325
12;13.0;-0.9218950940196737;0.00940731861081588;-0.6477791766054768;0.006394564624757754
13;14.0;-0.9180252073100741;0.01055528591000271;-0.6462485871820742;0.007503070964504
14;15.0;-0.9161175454013991;0.011921888806237076;-0.6418742104398625;0.008843867950072979
15;16.0;-0.9141286375443581;0.012725277552123914;-0.6395175433720144;0.009328936476205741
16;17.0;-0.9121842032580989;0.010086414759142187;-0.6355446227387095;0.00835952120193272
17;18.0;-0.9115643088326308;0.010565828503680088;-0.6343571358897341;0.00816565775516633
18;19.0;-0.9100785309367682;0.010848935353334203;-0.6315071138382493;0.008044829913632826
19;20.0;-0.9081298945793129;0.011037497237859916;-0.6300534255546081;0.007277731908277238
20;21.0;-0.9005801660537834;0.017816042333504218;-0.6283147680932843;0.0074655101073134575
21;22.0;-0.8962913727335501;0.021598140092465582;-0.6275800313830298;0.00687017600373832
22;23.0;-0.8937557896998177;0.02386209563016245;-0.6265137792994766;0.006572561192505155
23;24.0;-0.8899075052607515;0.027633639265248953;-0.6257799226278719;0.007225273449929624
24;25.0;-0.8889452441345979;0.028063018592314633;-0.6218695069976423;0.007249303410271907
25;26.0;-0.8841944078586126;0.030231387067402648;-0.620962453158655;0.007706834190444877
26;27.0;-0.8795586231466656;0.03196651477895832;-0.6185909080582412;0.007437716216875973
27;28.0;-0.8755756925832271;0.03597498078501898;-0.6174034193206787;0.0070196260326357285
28;29.0;-0.8660308857716945;0.03891515938113516;-0.616528455825796;0.007145063376260136
29;30.0;-0.86361328787237;0.03843937235156769;-0.6135029701052759;0.005269909135263709
30;31.0;-0.8551461123389752;0.041938668388607485;-0.6132382173067713;0.005257012352714864
31;32.0;-0.8506582254790415;0.04172020838548011;-0.6115919993167646;0.005131989207905804
32;33.0;-0.8462855374579176;0.0442227437778298;-0.6099226035644294;0.005794879984398912
33;34.0;-0.8458287770291335;0.044271384115776774;-0.6079087234112932;0.006986690972656931
34;35.0;-0.8419167083477648;0.04533444177600658;-0.6065428800362682;0.007091583982413462
35;36.0;-0.8400529673871102;0.04386020245459789;-0.6054472659021533;0.007344879272150581
36;37.0;-0.8373212460025142;0.04140614969204921;-0.6045750650930252;0.00774353543199005
37;38.0;-0.8348535979019168;0.04255174063180337;-0.6035674148766861;0.007343627436321214
38;39.0;-0.8300472862691539;0.04333843072267062;-0.6031175371133063;0.007357675896618023
39;40.0;-0.8292731740901882;0.04352934987737397;-0.602136408818304;0.007470543642187536
40;41.0;-0.8285286099906319;0.04409537121682164;-0.6011000266298412;0.006430826656508965
41;42.0;-0.8259045288769622;0.04210821939264177;-0.5993360265375951;0.006339049079899857
42;43.0;-0.8222180825209664;0.04031990295402368;-0.5983315226736725;0.006084480376748075
43;44.0;-0.816351895446194;0.039304863281126624;-0.5975138633332799;0.006502711214667581
44;45.0;-0.8130759440668394;0.03858319701924975;-0.5962863641859681;0.005929967941169269
45;46.0;-0.8124392272912668;0.03872587796821033;-0.5949079096133361;0.005870883108481148
46;47.0;-0.8117553240242223;0.037869576288544315;-0.5934225010872611;0.004273355272452872
47;48.0;-0.8091642825268691;0.03641154634916733;-0.5926032418204376;0.0048889002727980175
48;49.0;-0.8087202282010741;0.03618965134369653;-0.5916361773434738;0.004431439653720751
49;50.0;-0.8058563285634198;0.036382669384844434;-0.5909833239716715;0.004371679779945146
50;51.0;-0.8046994679460534;0.03506144627228548;-0.5904437293169355;0.004664856838650136
51;52.0;-0.8045357946218943;0.03511699943192256;-0.5891448199543776;0.004373792026415144
52;53.0;-0.7999062447724489;0.03576624782865977;-0.5886597844634535;0.004241416533986334
53;54.0;-0.7976262137645203;0.0331356743613635;-0.5880159187995477;0.0047228245100324655
54;55.0;-0.7938223003100293;0.02725616470931681;-0.5872951189168113;0.0045445747463880495
55;56.0;-0.7933630180829515;0.026775830914824467;-0.5860455772914909;0.004213690342285209
56;57.0;-0.7930761635810943;0.026983672821832744;-0.5846736049496807;0.004190187266649695
57;58.0;-0.7921453948558509;0.02715471439414977;-0.5837449975436378;0.0040169756139268155
58;59.0;-0.791691291897773;0.026778919860546088;-0.582754654732169;0.003914561030454134
59;60.0;-0.7903095873200809;0.02454645330493246;-0.5819837795987535;0.003900529075817312
60;61.0;-0.7889735574097103;0.023224396905326263;-0.5812692296391035;0.004471260358377351
61;62.0;-0.7888748349938657;0.023276842655082116;-0.580519747729125;0.004083877677478436
